ticker,date,close,volume,,,
AAL,17/09/14,37.459999,6682700,,,
AAL,18/09/14,38.049999,4553800,,,
AAL,19/09/14,36.630001,17589900,,,
AAL,22/09/14,35.580002,10964300,,,
AAL,23/09/14,35.330002,12146800,,,
AAL,24/09/14,36.119999,8487700,,,
AAL,25/09/14,35.209999,10931800,,,
AAL,26/09/14,35.93,8514800,,,
AAL,29/09/14,35.029999,7485000,,,
AAL,30/09/14,35.48,10657900,,,
AAL,01/10/14,34.389999,19443300,,,
AAL,02/10/14,33.93,21476300,,,
AAL,03/10/14,36.23,15076600,,,
AAL,06/10/14,34.93,12789300,,,
AAL,07/10/14,34.09,10030100,,,
AAL,08/10/14,33,22753600,,,
AAL,09/10/14,31.98,22634100,,,
AAL,10/10/14,30.780001,31018700,,,
AAL,13/10/14,28.58,34532900,,,
AAL,14/10/14,31.51,28136800,,,
AAL,15/10/14,31.690001,39941300,,,
AAL,16/10/14,32.970001,24983100,,,
AAL,17/10/14,33.380001,16001100,,,
AAL,20/10/14,35.220001,13532700,,,
AAL,21/10/14,37.849998,26347700,,,
AAL,22/10/14,37.040001,18958400,,,
AAL,23/10/14,38.48,33292000,,,
AAL,24/10/14,39.82,17834100,,,
AAL,27/10/14,39.91,13353100,,,
AAL,28/10/14,40.240002,12185300,,,
AAL,29/10/14,39.939999,15782400,,,
AAL,30/10/14,40.299999,10566600,,,
AAL,31/10/14,41.349998,13008200,,,
AAL,03/11/14,42,8441400,,,
AAL,04/11/14,42.700001,17421200,,,
AAL,05/11/14,42.25,11528800,,,
AAL,06/11/14,43.139999,14477200,,,
AAL,07/11/14,43.200001,9022600,,,
AAL,10/11/14,43.830002,13171000,,,
AAL,11/11/14,43.439999,11048700,,,
AAL,12/11/14,43.43,7705300,,,
AAL,13/11/14,44.119999,11135000,,,
AAL,14/11/14,44.009998,8746200,,,
AAL,17/11/14,43.689999,8691700,,,
AAL,18/11/14,45.049999,14218900,,,
AAL,19/11/14,44.099998,11291100,,,
AAL,20/11/14,44.16,9431400,,,
AAL,21/11/14,43.310001,10866500,,,
AAL,24/11/14,43.209999,9576600,,,
AAL,25/11/14,44.150002,11563800,,,
AAL,26/11/14,44.970001,12798600,,,
AAL,28/11/14,48.529999,21638700,,,
AAL,01/12/14,47.880001,15151400,,,
AAL,02/12/14,47.860001,11853900,,,
AAL,03/12/14,48.240002,8913700,,,
AAL,04/12/14,49.650002,15219000,,,
AAL,05/12/14,51.009998,15588200,,,
AAL,08/12/14,50.82,16167300,,,
AAL,09/12/14,48.310001,20575400,,,
AAL,10/12/14,48.939999,18500000,,,
AAL,11/12/14,50.529999,15054200,,,
AAL,12/12/14,49.970001,15364000,,,
AAL,15/12/14,50.84,15368500,,,
AAL,16/12/14,47.959999,22053700,,,
AAL,17/12/14,48.799999,24779800,,,
AAL,18/12/14,50.139999,16945300,,,
AAL,19/12/14,50.709999,26787700,,,
AAL,22/12/14,50.84,8872400,,,
AAL,23/12/14,50.209999,7166300,,,
AAL,24/12/14,51.43,5955400,,,
AAL,26/12/14,51.959999,6841800,,,
AAL,29/12/14,52.849998,8788900,,,
AAL,30/12/14,53.419998,8063100,,,
AAL,31/12/14,53.630001,10626000,,,
