ticker,date,close,volume
AAM,02/01/13,11.25,1940
AAM,03/01/13,10.98,1500
AAM,04/01/13,10.98,0
AAM,07/01/13,11.07,420
AAM,08/01/13,11.44,2010
AAM,09/01/13,11.62,260
AAM,10/01/13,11.53,2290
AAM,11/01/13,11.53,50
AAM,14/01/13,11.53,1510
AAM,15/01/13,11.53,0
AAM,16/01/13,11.44,1280
AAM,17/01/13,11.3,9750
AAM,18/01/13,11.39,320
AAM,21/01/13,11.39,6160
AAM,22/01/13,11.35,2320
AAM,23/01/13,11.35,380
AAM,24/01/13,11.44,4740
AAM,25/01/13,11.44,710
AAM,28/01/13,11.44,1610
AAM,29/01/13,11.39,2000
AAM,30/01/13,11.39,100
AAM,31/01/13,11.21,1930
AAM,01/02/13,11.16,40
AAM,04/02/13,11.3,2030
AAM,05/02/13,11.3,40
AAM,06/02/13,10.7,2280
AAM,07/02/13,11.07,2340
AAM,08/02/13,11.39,10
AAM,18/02/13,11.39,2030
AAM,19/02/13,10.98,1010
AAM,20/02/13,11.21,1080
AAM,21/02/13,11.3,100
AAM,22/02/13,11.39,730
AAM,25/02/13,11.3,1570
AAM,26/02/13,11.35,10
AAM,27/02/13,11.25,100
AAM,28/02/13,11.25,170
AAM,01/03/13,11.25,20
AAM,04/03/13,11.25,10
AAM,05/03/13,11.25,150
AAM,06/03/13,11.25,0
AAM,07/03/13,11.25,0
AAM,08/03/13,11.25,580
AAM,11/03/13,11.3,4860
AAM,12/03/13,11.3,1500
AAM,13/03/13,11.3,2980
AAM,14/03/13,11.3,0
AAM,15/03/13,11.3,260
AAM,18/03/13,11.3,120
AAM,19/03/13,11.21,2190
AAM,20/03/13,11.25,40
AAM,21/03/13,11.25,300
AAM,22/03/13,10.61,2860
AAM,25/03/13,11.07,30
AAM,26/03/13,10.7,1220
AAM,27/03/13,11.3,30
AAM,28/03/13,11.07,370
AAM,29/03/13,11.07,1140
AAM,01/04/13,11.07,10
AAM,02/04/13,11.72,16620
AAM,03/04/13,11.07,200
AAM,04/04/13,10.33,3350
AAM,05/04/13,10.24,10
AAM,08/04/13,10.89,20
AAM,09/04/13,10.38,410
AAM,10/04/13,11.02,10
AAM,11/04/13,10.98,110
AAM,12/04/13,10.93,1360
AAM,15/04/13,10.93,190
AAM,16/04/13,10.79,630
AAM,17/04/13,11.48,10
AAM,18/04/13,11.48,0
AAM,22/04/13,11.07,20220
AAM,23/04/13,10.33,1000
AAM,24/04/13,11.02,1800
AAM,25/04/13,10.93,100
AAM,26/04/13,11.07,10
AAM,02/05/13,11.07,0
AAM,03/05/13,11.07,60
AAM,06/05/13,11.07,0
AAM,07/05/13,11.07,50
AAM,08/05/13,10.89,640
AAM,09/05/13,10.79,500
AAM,10/05/13,10.61,320
AAM,13/05/13,10.15,810
AAM,14/05/13,10.61,510
AAM,15/05/13,10.61,5550
AAM,16/05/13,10.19,250
AAM,17/05/13,10.61,1370
AAM,20/05/13,10.84,1150
AAM,21/05/13,10.61,660
AAM,22/05/13,10.52,13410
AAM,23/05/13,10.42,640
AAM,24/05/13,10.79,160
AAM,27/05/13,10.84,20
AAM,28/05/13,10.84,5020
AAM,29/05/13,10.19,910
AAM,30/05/13,10.79,30
AAM,31/05/13,10.61,1000
AAM,03/06/13,10.65,3150
AAM,04/06/13,10.61,5800
AAM,05/06/13,10.15,1000
AAM,06/06/13,10.15,100
AAM,07/06/13,10.15,3830
AAM,10/06/13,10.1,1180
AAM,11/06/13,10.06,6230
AAM,12/06/13,10.06,1000
AAM,13/06/13,10.06,3070
AAM,14/06/13,10.01,900
AAM,17/06/13,10.06,160
AAM,18/06/13,9.46,640
AAM,19/06/13,10.1,1070
AAM,20/06/13,10.1,1900
AAM,21/06/13,10.01,7580
AAM,24/06/13,9.69,1090
AAM,25/06/13,9.27,720
AAM,26/06/13,9.32,3470
AAM,27/06/13,9.82,6310
AAM,28/06/13,10.15,1120
AAM,01/07/13,9.96,2180
AAM,02/07/13,10.24,340
AAM,03/07/13,10.24,120
AAM,04/07/13,9.96,2040
AAM,05/07/13,9.92,900
AAM,08/07/13,10.33,290
AAM,09/07/13,10.24,2530
AAM,10/07/13,10.91,530
AAM,11/07/13,11.12,30
AAM,12/07/13,10.36,5550
AAM,15/07/13,11.07,7200
AAM,16/07/13,10.36,3580
AAM,17/07/13,10.91,1750
AAM,18/07/13,10.64,840
AAM,19/07/13,11.12,7800
AAM,22/07/13,10.69,2370
AAM,23/07/13,10.53,1210
AAM,24/07/13,10.2,10680
AAM,25/07/13,10.53,3990
AAM,26/07/13,10.36,1410
AAM,29/07/13,10.26,460
AAM,30/07/13,10.26,0
AAM,31/07/13,10.26,540
AAM,01/08/13,10.26,470
AAM,02/08/13,10.2,630
AAM,05/08/13,9.98,610
AAM,06/08/13,10.2,1400
AAM,07/08/13,10.31,30
AAM,08/08/13,10.31,2000
AAM,09/08/13,10.31,1710
AAM,12/08/13,10.31,140
AAM,13/08/13,10.31,5790
AAM,14/08/13,10.31,0
AAM,15/08/13,10.31,0
AAM,16/08/13,10.09,110
AAM,19/08/13,10.04,3380
AAM,20/08/13,10.31,40
AAM,21/08/13,9.82,1060
AAM,22/08/13,9.77,1500
AAM,23/08/13,9.82,20
AAM,26/08/13,9.77,1220
AAM,27/08/13,9.77,1610
AAM,28/08/13,9.71,960
AAM,29/08/13,9.33,6370
AAM,30/08/13,9.55,3720
AAM,03/09/13,9.77,10
AAM,04/09/13,9.98,10
AAM,05/09/13,9.77,710
AAM,06/09/13,10.31,770
AAM,09/09/13,9.98,210
AAM,10/09/13,10.26,180
AAM,11/09/13,10.31,510
AAM,12/09/13,10.26,290
AAM,13/09/13,10.26,10
